ozone,pm25
39,6.8
37,16.1
39,11
38,12.9
42,8.1
30,7.4
32,7.5
34,7.2
41,9.8
45,8.5
37,8.3
39,6.4
42,8.8
46,7.4
38,9.7
39,8.2
35,7.7
33,14.1
36,6.5
33,6.6
35,8.8
30,10.5
30,9
37,7.1
41,11.3
44,10.1
43,9.2
51,9.8
46,26.4
45,8.5
38,8
40,15.4
33,7.1
29,6.4
26,7.9
34,7
27,9.1
37,18.6
37,16.8
41,11.3
51,7.7
48,8.2
44,9.6
40,10
39,10.9
38,17.7
47,29
56,20.9
45,18.3
43,15
43,7.3
39,8.9
48,15.4
40,5.8
34,5
27,6.6
34,4.5
26,4
43,5.7
42,5.4
47,5.4
54,6
45,4.5
46,6.6
55,7.6
50,5.8
40,6.5
30,13.6
43,8.7
50,6.6
48,6.3
40,8.1
35,8.3
53,9.9
59,10.8
55,11.4
53,8.4
48,5.2
45,3.9
44,5.4
51,8.4
42,7.7
46,7.2
41,6.6
44,5.8
45,5.5
50,7.2
60,16.9
60,13
61,13.3
46,13.9
34,11.5
42,6
40,5.6
38,6.1
41,3.6
38,3.2
37,3.7
35,2.9
40,2.7
33,4.1
34,5.8
32,5.6
25,5.6
25,7
35,7
29,7
32,6
38,5.1
31,5.8
33,6.2
35,6.7
46,6.6
41,6.3
36,10.1
31,10.3
23,4.4
40,6.8
31,5.4
30,5.6
33,10.6
28,29.4
33,20.3
32,16.5
27,21.9
33,17.5
43,11.4
40,14.3
31,14.8
39,19.3
36,9.9
31,10.2
37,10
40,7.8
31,5
39,8.7
38,7.4
35,8.2
32,6.6
28,4.5
30,4.9
25,4.1
24,4.2
26,6.5
36,5.1
27,7.2
32,6.5
41,7.1
41,7.7
25,9.2
16,6.8
12,9.5
23,5.9
36,7.9
24,8.7
35,12.6
29,12.4
34,9.2
32,7.4
40,5.9
34,7
23,8.6
21,8.5
15,10.8
14,10.7
21,11.3
27,6.6
21,8.5
15,11.3
35,11.5
32,4.7
18,9.3
15,10.9
17,11
26,9.3
17,11.2
17,5.8
21,7.7
16,10.5
17,14.6
15,13.6
11,11.5
14,6.1
22,5.5
15,7.4
17,6
21,11.2
18,9
