pm25,temp
4.4,79.2
3.8,70.3
4.3,73.4
4.5,71
5.8,73.3
7.6,77.3
5.4,80.9
5.8,72
6.9,73.5
9.7,79.6
6.8,80.2
5.2,79.3
6.8,77.8
6.4,79.8
5.3,80.6
4.6,80.4
4.7,78.3
4.9,74.8
4.5,57.2
3.6,59.9
9.3,64.1
8.8,69.5
4.2,61.5
3.9,63
5.6,65.2
3.4,46.1
3.8,46.8
3.9,50.6
3.2,51.5
3.9,60
4.4,64.1
4.6,61.9
5.1,63.4
4.4,63
5.8,61.8
6.6,63.8
8.6,63.5
8.4,64.4
10.7,65.3
9,67.4
5.6,68
6.1,57.9
4.7,54.1
5.9,57.1
4.3,62.2
4.9,59.3
5.3,66.8
5.2,66.5
4.7,66
6,52
7.3,52.3
7.2,57.3
4.7,40.9
7.2,37.1
16.7,42.7
13.1,47.7
11.3,49.6
9.3,55.8
13,52.8
11.7,52.3
7.7,53.5
16,53.9
11.7,53.5
4.6,55.5
5,56.7
5.3,52.1
8.5,49.5
8.6,49.5
7.4,56.5
8.3,59.7
9.6,53.6
5.2,51
5.4,50
8.6,48.5
8.5,46.5
10.7,50.7
15.9,53.2
8.1,49.4
13.8,45.8
14.1,46.4
8.4,46.9
6.8,51.1
6.4,52.9
5.9,46.1
10.8,42.9
11,45
10.2,50.6
6.4,51.1
4,50.5
4.6,51.9
11.1,50.8
7.2,50.6
4.9,58.1
5.1,52.8
13.1,52.6
18.3,52.8
5.4,46.6
5,45.5
5.6,38
3.9,32.5
5.9,32.7
23.3,41.6
14,38.6
6.5,31.7
9.4,39
15.5,43.9
11.5,49.3
4.7,48.7
7.4,47.7
4.8,48.9
7.2,49.2
4.7,51.2
4.5,47
4.3,48.4
6.4,48.5
14.1,52.7
7.5,55.1
7.8,53.1
6.5,54.5
6.1,47.9
9.7,48.2
11.3,56.7
5,46.8
6.2,42.9
6.7,45.7
9.1,46.1
13.1,47
6.8,48.1
6.5,50.7
6.4,43.9
18,49.3
12.6,55
8.5,55.2
6,54.5
6.6,57.8
8.3,59.8
5.2,59
6.1,53
5.4,42.1
5.2,43.4
6.9,47.9
9,50.6
6.3,50.8
7.1,44.9
8.4,50.7
5.6,60.7
4.9,64.1
6.1,55.2
4.1,47.9
7,48.1
5.5,37.9
6.5,40.7
9.2,50
10.6,47.1
6.3,41.3
6,48
8.1,54.8
6.7,60
6.1,62
5.8,62.6
6.2,63.4
7.8,65.3
6.6,64.1
7,45.9
5.6,48.8
6.3,58.9
8.3,68.6
25.2,63.2
6.5,53.7
8.1,58.6
6.7,62.4
11.4,58.3
11.7,49.9
6.2,50.7
7.7,47.8
5.6,44.6
5.3,53.4
5.3,55
8.8,56.9
11,58.3
11.7,60.7
7.5,61.9
6.2,59.8
7,64.4
10.6,65.9
13.1,70.8
13.4,72
11.1,72.3
12.4,69.4
11,58.9
9.9,50.9
9.8,55.3
10.7,65.1
7.2,65.5
9.5,65.6
5.3,64.4
5.4,68.2
5.4,73.4
6.3,77.8
34.6,70.5
6.4,57.6
8.1,55.2
6.6,54
5.7,62.2
10.6,72.3
6.1,72.2
10.8,60.2
7.8,65.6
5.8,71
9.6,76.4
7.1,74.9
8,68.6
4.7,64.6
4.4,65.6
6.1,74.4
7.6,79.4
7.8,79.3
6.5,78
6,76.6
7.7,72.3
4.7,73.8
5.8,75.5
6.5,75.6
6.1,78.5
5.9,77.3
7.6,71.5
5.3,66.9
6.6,67
6.7,58.3
6.5,62.9
5.3,63.3
6,65.3
8.7,74
7.4,79.1
7.8,81.6
11.4,75.1
6.4,69.9
6.6,74.6
22.2,68.2
10.1,64.9
17.5,76.1
11,74.3
7.9,74.4
5.8,80.7
22.6,80.2
11.8,77.3
8.8,72.4
5.7,73.7
15.1,75.1
11.7,77.5
11.4,81.6
10.2,81.4
10.1,76.4
6,77
6.5,81.3
9,85.7
7.6,85.6
9,83.1
5.4,63.8
9.9,84
9.3,85.6
8.2,84.4
7.5,84.2
8.7,85.3
8.5,84.2
9.1,84.9
7,85.1
8.9,84.6
6.8,82.6
7.1,81.5
7.5,82.9
12.5,85.9
11.3,88
12.5,89.5
12.1,87.7
9.2,87.6
10.6,87.9
12.5,87.6
5.9,88.2
8.3,88.4
13.5,88.4
7.8,81.1
5.7,80
6.1,83.9
7.9,87.1
9.3,90.7
9.7,86.6
10.6,84.4
7.7,88.1
7.8,89.9
9.3,90.7
8.9,90.5
7.4,88.8
8.4,86.7
7.4,88.6
7.3,90.5
9.9,91.3
9.6,83.7
7.6,79.6
7.2,82.8
7.7,85.9
7.8,88.4
7.5,89.4
7.8,88.4
23.2,84
8.7,86.6
8.2,86
6.1,86.6
8.4,90.5
8,90.5
7,85.8
8.6,90.7
7.2,88.3
5.7,84.9
5.7,86.1
5.7,79
4.9,83.1
5.7,86
5.6,87.8
9.1,85.8
9,83.7
7.8,87.5
6.8,88.5
6.6,89.1
7.8,90.4
9.3,89.7
11.9,86.7
8.5,82.7
9.3,81.3
7.1,81.9
6.4,86.5
6.8,90.3
14.8,88.7
9.3,85.6
7.7,83.7
7.5,80.5
7.8,83.7
8,84.9
6.5,84.9
7.5,84.8
8,84.1
7.9,82.7
6,85.3
6,85.2
5.8,82.3
5.5,79.8
5.2,80.3
5,82
5.2,83
5.5,80.2
5.9,77.8
5.7,71.5
6,75.2
4.1,79.2
4.2,81.7
4.3,82.9
4.9,83.1
5.8,72
5.6,75
3.9,79.8
3.9,75.6
4.5,77
4.9,78.9
5.8,76.6
5.7,76.9
6,79.1
7.7,75.7
4.3,72.7
5.8,71.3
6,74.5
8,72.3
7.9,76
6.2,76.8
7.4,68.2
8.1,71.7
7,74.1
7.1,73.8
6.8,56.9
9.6,60
12.2,68.1
6.6,69
5.7,72.3
7.3,66.7
10.9,68.7
6.5,71.5
8.1,67.3
7.7,68.5
8.7,62.4
8.8,63.3
8.6,64.9
9,56.3
10.3,46.8
9.3,55.3
8.2,68.4
10.4,67.1
10,64.7
14.1,53.9
8.6,46
15.1,51.9
12.1,53.4
11.9,58.9
10.4,66.7
10.1,66.8
9.3,65.7
9.7,57.6
8.9,65.2
6.9,56
5.5,39.8
7,48
8.4,51.3
8.7,52.3
11.4,55.9
15.2,54.8
13.7,57.5
9.8,61.1
6.5,60.4
6.9,52.9
6.3,51.5
11.4,49.5
5.9,50.8
4.6,56.2
9.3,54.3
6,43.3
6.7,45.9
5.9,52.3
7.9,47.6
10.8,44.1
10.1,47.2
8.4,50.4
5,57.9
7.8,54.4
9,55.2
6.9,58
8.2,48.3
8.4,48.3
8.9,47
7,48.7
4.7,55.5
5.3,58.9
5.8,61.3
5.1,47.9
6.2,39.3
6.5,38.3
